"","Year","State","State.ANSI","Data.Item","Fertilizer","Value"
"149",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",43.2
"150",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",45
"151",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"152",2014,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",85
"153",2014,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",85
"154",2014,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",85
"155",2014,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"156",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB","NITROGEN",70000
"157",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB","PHOSPHATE",92000
"158",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB","POTASH",83000
"159",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB","SULFUR",14000
"160",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",16
"161",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",23
"162",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",25
"163",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",5
"164",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",36
"165",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",48
"166",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",43
"167",2014,"OREGON",41," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",9
"168",2014,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",2.3
"169",2014,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",2.1
"170",2014,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",1.7
"171",2014,"OREGON",41," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",1.7
"172",2014,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",96
"173",2014,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",96
"174",2014,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",96
"175",2014,"OREGON",41," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",78
"176",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB","NITROGEN",56000
"177",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB","PHOSPHATE",149000
"178",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB","POTASH",150000
"179",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"180",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",28
"181",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",78
"182",2014,"WASHINGTON",53," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",64
